APPRENTICE_CHARACTER_ID,MENTOR_CHARACTER_ID
49,16417
61,16417
89,73
115,61
115,16638
174,16482
177,7290
220,150
222,91
281,13
319,262
357,698
367,26936
377,248
377,7793
400,479
434,969
532,16417
605,4082
618,3224
621,251
629,120
647,205
697,8194
740,17430
775,895
817,17586
833,3297
961,58
962,204
1005,24627
1018,20957
1043,651
1072,603
1097,215
1113,19635
1124,538
1124,2390
1175,5016
1203,1705
1208,17154
1330,3224
1331,1848
1359,19635
1376,6998
1381,1110
1401,3410
1405,13
1422,1401
1423,56
1423,207
1424,361
1447,8114
1447,24627
1490,16446
1775,3858
1784,138
1784,280
1821,1343
1864,469
1870,1810
1957,186
1957,1358
1965,8114
1976,3224
1979,14729
1993,16790
2030,28683
2100,4969
2142,16283
2142,16638
2155,22515
2175,6998
2206,951
2206,19280
2311,24383
2331,5282
2343,16482
2395,3593
2405,1958
2468,27593
2525,12765
2525,27070
2594,24383
2599,251
2623,160
2685,14743
2698,2683
2734,2591
2764,17033
2765,91
2765,858
2765,1478
2766,24058
2784,8030
2954,11226
2996,17320
3039,21273
3067,15896
3109,138
3129,16844
3141,492
3141,1129
3141,20899
3156,538
3217,14386
3273,1214
3325,29822
3336,27460
3340,2591
3392,1317
3392,16446
3420,4896
3420,7308
3420,14951
3439,14781
3479,717
3479,26624
3499,11362
3578,4896
3598,2195
3614,297
3614,4115
3638,26082
3681,254
3681,4896
3681,14951
3698,471
3702,239
3738,328
3751,19262
3776,22429
3785,280
3856,19761
3905,25602
4033,1364
4080,11226
4098,21865
4162,698
4187,926
4191,23095
4199,183
4225,8114
4256,18011
4308,20720
4389,24011
4473,17544
4473,18047
4473,22233
4607,21865
4695,471
4803,11226
4819,19635
4872,994
4873,859
4873,14386
4919,16784
5023,13369
5145,1614
5155,11587
5155,16599
5178,15029
5363,3297
5380,11289
5471,481
5471,3057
5614,14200
5637,2502
5680,1140
5777,17765
5790,17205
5865,19262
5890,221
5924,33283
5932,21120
5940,2830
5940,27576
5950,26460
5987,15038
6107,2310
6199,17032
6257,3483
6270,260
6275,1325
6275,4037
6287,203
6294,683
6302,17040
6312,1469
6312,2154
6314,2217
6354,218
6391,9660
6424,5211
6424,8876
6424,16006
6479,28008
6488,663
6517,1167
6535,6191
6537,150
6537,215
6537,740
6550,1593
6550,9064
6608,1649
6619,303
6639,1767
6692,17293
6748,260
6770,91
6770,15756
6788,2792
6894,7588
6982,22257
7097,11266
7130,10249
7140,17033
7145,1974
7145,21273
7150,106
7150,1106
7150,17685
7195,2310
7196,13
7204,51
7263,878
7272,1079
7304,30136
7343,16586
7348,7936
7419,22347
7448,2399
7471,1089
7555,1958
7677,13
7704,16499
7777,300
7777,994
7777,16417
7791,120
7791,1974
7791,19845
7800,23245
7822,4455
7828,19967
7898,10529
7933,3278
7943,143
7951,9137
7954,2195
7979,26124
7986,1110
7993,878
7999,2154
8011,1077
8015,1474
8015,18541
8015,24391
8073,5346
8083,10669
8156,750
8167,4294
8213,5491
8213,18931
8213,21960
8372,1247
8478,25170
8569,15029
8569,22437
8605,16844
8624,160
8624,11587
8624,29624
8630,2221
8630,21120
8672,10814
8672,11066
8765,297
8765,615
8765,789
8772,19553
8779,707
8805,230
8805,11605
8840,25294
8890,30553
8911,298
8991,1331
9014,2830
9191,1240
9191,13779
9232,8960
9236,1880
9236,2399
9254,15410
9280,238
9296,29624
9399,3297
9480,12689
9486,17499
9625,18666
9648,26124
9732,532
9732,750
9734,251
9771,492
9771,12689
9775,3984
9784,859
9784,18533
9842,24849
9856,9945
9874,251
9911,13383
